"zip","median_hh_income"
60561,86610
21009,85961
60636,27573
94525,79886
33617,36181
38128,33757
48033,47326
94506,186378
7974,146776
48207,26380
90732,89440
37215,112047
19401,49329
19136,45570
19120,33117
92316,53648
45249,76549
11364,71030
32908,49099
45147,49861
76053,53907
15120,43962
20319,0
11724,207656
18092,88421
98059,97407
7863,85720
7961,0
12196,91699
14004,70943
20769,145575
85363,40385
20720,138636
78228,39317
7424,79302
35584,26875
10985,173710
45826,59375
27514,69380
44281,70232
53146,83586
87047,84091
2050,92610
98465,55544
6037,94545
94612,42880
63301,54958
18644,58372
30052,65993
20735,104925
33305,62995
6416,85856
11758,111189
96701,91646
72384,27583
44040,150625
13108,74490
68157,67846
84128,70256
15053,47125
30324,66748
29687,52126
34684,50296
93722,54137
7662,78333
89054,0
85201,37261
1002,52379
30326,82102
19426,116584
43540,56438
32250,70383
77022,30164
55020,117857
45236,58965
10278,0
78738,123836
12060,71500
60466,50535
94061,99230
18706,43547
14537,32708
1053,62222
14610,62923
27615,78709
7403,80872
47371,45605
80033,52193
43315,54786
85207,67842
14305,35647
19132,18918
30833,30978
7094,99883
13061,68889
1590,101315
98208,82957
28673,73454
10960,83977
45220,36589
80126,121524
15623,52933
33637,52987
91602,78526
6070,118538
27253,42491
2771,86014
93313,72169
11565,108656
80224,59352
51554,63611
19123,60400
7027,79063
2492,147375
32937,63803
73013,80882
33322,48420
15087,83333
27284,60085
19149,41599
13484,0
68110,27107
10304,54567
20902,87244
16229,59657
74011,75955
12418,72727
1850,46102
79927,33255
43004,73854
77057,57093
30341,56643
88027,26563
19146,58784
74114,69601
15054,30982
84067,66506
38117,71044
74019,63344
19043,67668
20240,0
32204,40417
94578,52419
93041,62032
67214,23183
21784,108370
98204,48881
41085,46111
68007,104320
93609,44068
94582,149859
8002,78812
10044,92623
22303,93206
77092,39921
7981,112534
23236,76572
92887,133542
55044,108839
10034,50909
37187,46060
20005,94506
50257,54821
12042,44583
2199,82238
70752,67649
12009,93975
12592,53906
95620,74053
12195,19359
33950,52347
92548,41332
19525,95220
10705,49110
85053,49114
6756,96157
43031,72116
67211,30681
93242,40417
13024,0
29707,75586
32951,70575
10931,68819
11226,48495
90069,86403
18343,66757
80917,54659
77087,35302
48313,65423
70122,37974
55388,77357
46218,23771
